"id_cliente","subcanal","mes_alta"
66363,"C","2019-04-01"
66365,"B","2019-04-01"
66369,"C","2019-04-01"
66379,"C","2019-04-01"
66393,"A","2019-04-01"
66397,"A","2019-04-01"
66399,"C","2019-04-01"
66413,"C","2019-04-01"
66425,"C","2019-04-01"
66429,"B","2019-04-01"
66431,"C","2019-04-01"
66437,"C","2019-04-01"
66451,"C","2019-04-01"
66463,"C","2019-04-01"
66473,"C","2019-04-01"
66475,"B","2019-04-01"
66495,"C","2019-04-01"
66499,"C","2019-04-01"
66505,"C","2019-04-01"
66509,"C","2019-04-01"
66517,"C","2019-04-01"
66525,"C","2019-04-01"
66529,"B","2019-04-01"
66539,"C","2019-04-01"
66541,"C","2019-04-01"
66545,"C","2019-04-01"
66551,"C","2019-04-01"
66563,"C","2019-04-01"
66565,"C","2019-04-01"
66569,"C","2019-04-01"
66573,"A","2019-04-01"
66575,"C","2019-04-01"
66579,"C","2019-04-01"
66583,"C","2019-04-01"
66591,"C","2019-04-01"
66593,"C","2019-04-01"
66601,"C","2019-04-01"
66605,"C","2019-04-01"
66623,"C","2019-04-01"
66627,"C","2019-04-01"
66633,"C","2019-04-01"
66635,"C","2019-04-01"
66637,"C","2019-04-01"
66639,"C","2019-04-01"
66647,"C","2019-04-01"
66651,"C","2019-04-01"
66653,"C","2019-04-01"
66657,"C","2019-04-01"
66659,"C","2019-04-01"
66661,"B","2019-04-01"
66663,"C","2019-04-01"
66687,"C","2019-05-01"
66693,"C","2019-05-01"
66695,"C","2019-05-01"
66699,"C","2019-05-01"
66705,"C","2019-05-01"
66715,"C","2019-05-01"
66719,"C","2019-05-01"
66721,"B","2019-05-01"
66723,"B","2019-05-01"
66725,"C","2019-05-01"
66731,"B","2019-05-01"
66733,"B","2019-05-01"
66737,"B","2019-05-01"
66739,"B","2019-05-01"
66741,"B","2019-05-01"
66751,"B","2019-05-01"
66755,"B","2019-05-01"
66757,"C","2019-05-01"
66759,"C","2019-05-01"
66763,"C","2019-05-01"
66767,"C","2019-05-01"
66781,"B","2019-05-01"
66783,"B","2019-05-01"
66787,"C","2019-05-01"
66797,"C","2019-05-01"
66801,"C","2019-05-01"
66803,"C","2019-05-01"
66811,"C","2019-05-01"
66815,"C","2019-05-01"
66819,"C","2019-05-01"
66823,"C","2019-05-01"
66827,"C","2019-05-01"
66835,"C","2019-05-01"
66837,"C","2019-05-01"
66841,"B","2019-05-01"
66851,"C","2019-05-01"
66853,"C","2019-05-01"
66855,"C","2019-05-01"
66859,"B","2019-05-01"
66861,"A","2019-05-01"
66865,"C","2019-05-01"
66877,"C","2019-05-01"
66879,"C","2019-05-01"
66885,"C","2019-05-01"
66893,"C","2019-05-01"
66897,"C","2019-05-01"
66903,"C","2019-05-01"
66907,"C","2019-05-01"
66909,"C","2019-05-01"
66911,"C","2019-05-01"
66913,"C","2019-05-01"
66915,"C","2019-05-01"
66923,"C","2019-05-01"
66925,"C","2019-05-01"
66927,"C","2019-05-01"
66937,"C","2019-05-01"
66945,"C","2019-05-01"
66949,"B","2019-05-01"
66959,"B","2019-05-01"
66967,"C","2019-05-01"
66971,"B","2019-05-01"
66979,"C","2019-05-01"
66987,"B","2019-05-01"
66991,"C","2019-05-01"
66993,"C","2019-05-01"
66995,"C","2019-05-01"
66999,"C","2019-05-01"
67003,"C","2019-05-01"
67005,"C","2019-05-01"
67007,"C","2019-05-01"
67009,"C","2019-05-01"
67011,"C","2019-05-01"
67015,"C","2019-05-01"
67023,"C","2019-05-01"
67025,"C","2019-05-01"
67041,"B","2019-05-01"
67043,"C","2019-05-01"
67047,"A","2019-05-01"
67049,"B","2019-05-01"
67053,"B","2019-05-01"
67055,"B","2019-05-01"
67057,"B","2019-05-01"
67059,"B","2019-05-01"
67061,"B","2019-05-01"
67067,"C","2019-05-01"
67085,"C","2019-05-01"
67093,"B","2019-05-01"
67095,"B","2019-05-01"
67099,"C","2019-05-01"
67101,"B","2019-05-01"
67111,"B","2019-05-01"
67113,"A","2019-05-01"
67117,"C","2019-05-01"
67125,"C","2019-05-01"
67127,"A","2019-05-01"
67131,"C","2019-05-01"
67137,"A","2019-05-01"
67149,"C","2019-05-01"
67153,"C","2019-05-01"
67159,"C","2019-05-01"
67163,"C","2019-05-01"
67165,"A","2019-05-01"
67169,"C","2019-05-01"
67175,"C","2019-05-01"
67177,"C","2019-05-01"
67183,"B","2019-05-01"
67189,"A","2019-05-01"
67191,"B","2019-05-01"
67199,"C","2019-05-01"
67209,"C","2019-05-01"
67219,"C","2019-05-01"
67223,"C","2019-05-01"
67225,"C","2019-05-01"
67227,"B","2019-05-01"
67229,"B","2019-05-01"
67247,"C","2019-05-01"
67249,"B","2019-05-01"
67257,"B","2019-05-01"
67263,"C","2019-05-01"
67265,"C","2019-05-01"
67271,"B","2019-05-01"
67273,"C","2019-05-01"
67277,"C","2019-05-01"
67285,"C","2019-05-01"
67293,"C","2019-05-01"
67299,"C","2019-05-01"
67303,"C","2019-05-01"
67307,"B","2019-05-01"
67313,"B","2019-05-01"
67315,"C","2019-05-01"
67317,"C","2019-05-01"
67325,"C","2019-05-01"
67329,"B","2019-05-01"
67367,"A","2019-05-01"
67371,"A","2019-05-01"
67377,"C","2019-05-01"
67379,"C","2019-05-01"
67387,"C","2019-05-01"
67389,"C","2019-05-01"
67395,"C","2019-05-01"
67397,"C","2019-05-01"
67399,"C","2019-05-01"
67401,"C","2019-05-01"
67403,"C","2019-05-01"
67411,"C","2019-05-01"
67421,"B","2019-05-01"
67423,"C","2019-05-01"
67429,"C","2019-05-01"
67439,"A","2019-05-01"
67441,"C","2019-05-01"
67447,"C","2019-05-01"
67449,"C","2019-05-01"
67455,"C","2019-05-01"
67473,"C","2019-05-01"
67485,"C","2019-05-01"
67487,"B","2019-05-01"
67489,"B","2019-05-01"
67497,"B","2019-05-01"
67505,"C","2019-05-01"
67513,"C","2019-05-01"
67523,"C","2019-05-01"
67527,"C","2019-05-01"
67529,"C","2019-05-01"
67531,"C","2019-05-01"
67545,"C","2019-05-01"
67553,"B","2019-05-01"
67561,"B","2019-05-01"
67565,"C","2019-05-01"
67571,"B","2019-05-01"
67581,"C","2019-05-01"
67583,"C","2019-05-01"
67585,"C","2019-05-01"
67591,"C","2019-05-01"
67595,"C","2019-05-01"
67601,"B","2019-05-01"
67609,"C","2019-05-01"
67617,"C","2019-05-01"
67619,"C","2019-05-01"
67623,"C","2019-05-01"
67629,"C","2019-05-01"
67633,"C","2019-05-01"
67639,"C","2019-05-01"
67641,"B","2019-05-01"
67645,"C","2019-05-01"
67649,"C","2019-05-01"
67651,"C","2019-05-01"
67659,"C","2019-05-01"
67661,"C","2019-05-01"
67663,"C","2019-05-01"
67669,"C","2019-05-01"
67673,"C","2019-05-01"
67675,"C","2019-05-01"
67677,"C","2019-05-01"
67687,"C","2019-05-01"
67691,"C","2019-05-01"
67693,"C","2019-05-01"
67699,"C","2019-05-01"
67703,"C","2019-05-01"
67705,"A","2019-05-01"
67711,"B","2019-05-01"
67715,"C","2019-05-01"
67717,"C","2019-05-01"
67721,"C","2019-05-01"
67729,"B","2019-05-01"
67731,"B","2019-05-01"
67733,"B","2019-05-01"
67735,"C","2019-05-01"
67743,"C","2019-05-01"
67747,"C","2019-05-01"
67749,"C","2019-05-01"
67751,"B","2019-05-01"
67755,"A","2019-05-01"
67761,"B","2019-05-01"
67771,"C","2019-05-01"
67775,"C","2019-05-01"
67781,"C","2019-05-01"
67783,"C","2019-05-01"
67787,"C","2019-05-01"
67791,"C","2019-05-01"
67793,"C","2019-05-01"
67797,"C","2019-05-01"
67813,"C","2019-05-01"
67817,"C","2019-05-01"
67821,"C","2019-05-01"
67825,"A","2019-05-01"
67827,"B","2019-05-01"
67853,"C","2019-05-01"
67857,"C","2019-05-01"
67859,"C","2019-05-01"
67863,"C","2019-05-01"
67875,"C","2019-05-01"
67881,"C","2019-05-01"
67895,"C","2019-05-01"
67905,"C","2019-05-01"
67915,"C","2019-05-01"
67917,"C","2019-05-01"
67923,"C","2019-05-01"
67925,"C","2019-05-01"
67931,"A","2019-05-01"
67933,"C","2019-05-01"
67937,"B","2019-05-01"
67939,"C","2019-05-01"
67941,"C","2019-05-01"
67943,"A","2019-05-01"
67947,"C","2019-05-01"
67955,"C","2019-05-01"
67961,"C","2019-05-01"
67969,"C","2019-05-01"
67979,"B","2019-05-01"
67989,"B","2019-05-01"
67991,"B","2019-05-01"
68011,"C","2019-05-01"
68019,"C","2019-05-01"
68027,"C","2019-05-01"
68031,"B","2019-05-01"
68035,"C","2019-05-01"
68039,"C","2019-05-01"
68057,"B","2019-05-01"
68061,"B","2019-05-01"
68063,"C","2019-05-01"
68069,"C","2019-05-01"
68077,"C","2019-05-01"
68081,"A","2019-05-01"
68085,"C","2019-05-01"
68093,"B","2019-05-01"
68103,"C","2019-05-01"
68115,"B","2019-05-01"
68117,"C","2019-05-01"
68131,"C","2019-05-01"
68133,"C","2019-05-01"
68151,"C","2019-05-01"
68157,"B","2019-05-01"
68159,"C","2019-05-01"
68165,"C","2019-05-01"
68171,"C","2019-05-01"
68175,"C","2019-05-01"
68179,"C","2019-05-01"
68181,"C","2019-05-01"
68185,"C","2019-05-01"
68187,"C","2019-05-01"
68189,"C","2019-05-01"
68191,"C","2019-05-01"
68193,"C","2019-05-01"
68211,"B","2019-05-01"
68217,"B","2019-05-01"
68229,"C","2019-05-01"
68235,"C","2019-05-01"
68247,"C","2019-05-01"
68265,"C","2019-05-01"
68267,"A","2019-05-01"
68277,"C","2019-05-01"
68285,"C","2019-05-01"
68303,"C","2019-05-01"
68311,"C","2019-05-01"
68317,"C","2019-05-01"
68321,"C","2019-05-01"
68329,"B","2019-05-01"
68341,"C","2019-05-01"
68343,"C","2019-05-01"
68359,"C","2019-05-01"
68365,"C","2019-05-01"
68373,"B","2019-05-01"
68383,"C","2019-05-01"
68391,"C","2019-05-01"
68393,"B","2019-05-01"
68395,"C","2019-05-01"
68401,"C","2019-05-01"
68403,"C","2019-05-01"
68407,"C","2019-05-01"
68413,"C","2019-05-01"
68419,"C","2019-05-01"
68425,"C","2019-05-01"
68427,"C","2019-05-01"
68431,"C","2019-05-01"
68433,"C","2019-05-01"
68435,"C","2019-05-01"
68437,"C","2019-05-01"
68439,"C","2019-05-01"
68447,"C","2019-05-01"
68457,"C","2019-05-01"
68465,"C","2019-05-01"
68471,"C","2019-05-01"
68475,"C","2019-05-01"
68479,"C","2019-05-01"
68481,"C","2019-05-01"
68483,"C","2019-05-01"
68485,"C","2019-05-01"
68493,"C","2019-05-01"
68499,"C","2019-05-01"
68501,"B","2019-05-01"
68503,"B","2019-05-01"
68505,"C","2019-05-01"
68507,"C","2019-05-01"
68509,"C","2019-05-01"
68515,"C","2019-05-01"
68517,"C","2019-05-01"
68521,"B","2019-05-01"
68531,"C","2019-05-01"
68537,"C","2019-05-01"
68539,"C","2019-05-01"
68549,"A","2019-05-01"
68559,"C","2019-05-01"
68563,"A","2019-05-01"
68571,"C","2019-05-01"
68577,"C","2019-05-01"
68581,"C","2019-05-01"
68593,"C","2019-05-01"
68597,"A","2019-05-01"
68607,"C","2019-05-01"
68611,"C","2019-05-01"
68613,"C","2019-05-01"
68619,"C","2019-05-01"
68621,"C","2019-05-01"
68623,"C","2019-05-01"
68627,"B","2019-05-01"
68629,"A","2019-05-01"
68631,"C","2019-05-01"
68635,"C","2019-05-01"
68639,"B","2019-05-01"
68645,"C","2019-05-01"
68647,"C","2019-05-01"
68649,"C","2019-05-01"
68651,"C","2019-05-01"
68653,"C","2019-05-01"
68655,"C","2019-05-01"
68657,"C","2019-05-01"
68659,"C","2019-05-01"
68661,"C","2019-05-01"
68663,"C","2019-05-01"
68665,"C","2019-05-01"
68667,"C","2019-05-01"
68669,"C","2019-05-01"
68671,"C","2019-05-01"
68673,"C","2019-05-01"
68675,"C","2019-05-01"
68677,"C","2019-05-01"
68679,"C","2019-05-01"
68681,"C","2019-05-01"
68683,"C","2019-05-01"
68687,"A","2019-05-01"
68695,"A","2019-05-01"
68697,"C","2019-05-01"
68705,"B","2019-05-01"
68709,"B","2019-05-01"
68711,"C","2019-05-01"
68717,"C","2019-05-01"
68735,"C","2019-05-01"
68741,"B","2019-05-01"
68747,"C","2019-05-01"
68749,"B","2019-05-01"
68751,"C","2019-05-01"
68755,"C","2019-05-01"
68757,"C","2019-05-01"
68761,"C","2019-05-01"
68765,"A","2019-05-01"
68771,"C","2019-05-01"
68781,"C","2019-05-01"
68789,"C","2019-05-01"
68795,"B","2019-05-01"
68797,"C","2019-05-01"
68799,"C","2019-05-01"
68803,"B","2019-05-01"
68805,"C","2019-05-01"
68811,"C","2019-05-01"
68813,"C","2019-05-01"
68815,"C","2019-05-01"
68827,"C","2019-05-01"
68829,"C","2019-05-01"
68833,"B","2019-05-01"
68845,"B","2019-05-01"
68849,"B","2019-05-01"
68859,"C","2019-05-01"
68861,"C","2019-05-01"
68863,"C","2019-05-01"
68871,"B","2019-05-01"
68879,"C","2019-05-01"
68881,"C","2019-05-01"
68889,"C","2019-05-01"
68891,"A","2019-05-01"
68893,"A","2019-05-01"
68895,"C","2019-05-01"
68897,"B","2019-05-01"
68899,"C","2019-05-01"
68903,"C","2019-05-01"
68907,"C","2019-05-01"
68909,"C","2019-05-01"
68913,"B","2019-05-01"
68915,"B","2019-05-01"
68921,"B","2019-05-01"
68947,"B","2019-05-01"
68951,"C","2019-05-01"
68953,"B","2019-05-01"
68957,"B","2019-05-01"
68959,"C","2019-05-01"
68961,"C","2019-05-01"
68977,"B","2019-05-01"
68979,"C","2019-05-01"
68983,"C","2019-05-01"
68987,"B","2019-05-01"
68991,"B","2019-05-01"
68993,"B","2019-05-01"
68995,"B","2019-05-01"
68997,"B","2019-05-01"
69001,"C","2019-05-01"
69015,"C","2019-05-01"
69025,"C","2019-05-01"
69029,"B","2019-05-01"
69031,"C","2019-05-01"
69033,"C","2019-05-01"
69037,"C","2019-05-01"
69041,"C","2019-05-01"
69047,"C","2019-05-01"
69049,"C","2019-05-01"
69053,"C","2019-05-01"
69061,"C","2019-05-01"
69067,"C","2019-05-01"
69069,"B","2019-05-01"
69075,"C","2019-05-01"
69089,"C","2019-05-01"
69097,"C","2019-05-01"
69101,"C","2019-05-01"
69119,"C","2019-05-01"
69121,"C","2019-05-01"
69123,"A","2019-05-01"
69125,"A","2019-05-01"
69127,"A","2019-05-01"
69135,"A","2019-05-01"
69143,"C","2019-05-01"
69149,"C","2019-05-01"
69153,"C","2019-05-01"
69163,"C","2019-05-01"
69169,"C","2019-05-01"
69171,"B","2019-05-01"
69175,"C","2019-05-01"
69177,"B","2019-05-01"
69179,"A","2019-05-01"
69181,"A","2019-05-01"
69183,"C","2019-05-01"
69197,"C","2019-05-01"
69209,"C","2019-05-01"
69213,"B","2019-05-01"
69217,"C","2019-05-01"
69223,"C","2019-05-01"
69227,"C","2019-05-01"
69229,"C","2019-05-01"
69233,"A","2019-05-01"
69247,"B","2019-05-01"
69255,"A","2019-05-01"
69279,"C","2019-05-01"
69297,"B","2019-05-01"
69305,"C","2019-05-01"
69313,"B","2019-05-01"
69329,"A","2019-05-01"
69331,"C","2019-05-01"
69333,"C","2019-05-01"
69337,"C","2019-05-01"
69345,"C","2019-05-01"
69347,"B","2019-05-01"
69357,"C","2019-06-01"
69373,"C","2019-06-01"
69377,"B","2019-06-01"
69379,"C","2019-06-01"
69381,"C","2019-06-01"
69383,"C","2019-06-01"
69387,"C","2019-06-01"
69393,"B","2019-06-01"
69395,"C","2019-06-01"
69405,"C","2019-06-01"
69407,"C","2019-06-01"
69413,"C","2019-06-01"
69415,"B","2019-06-01"
69423,"B","2019-06-01"
69425,"A","2019-06-01"
69437,"A","2019-06-01"
69439,"B","2019-06-01"
69441,"A","2019-06-01"
69447,"B","2019-06-01"
69451,"A","2019-06-01"
69459,"C","2019-06-01"
69471,"C","2019-06-01"
69481,"C","2019-06-01"
69483,"C","2019-06-01"
69493,"C","2019-06-01"
69503,"C","2019-06-01"
69509,"C","2019-06-01"
69533,"C","2019-06-01"
69537,"C","2019-06-01"
69539,"B","2019-06-01"
69561,"C","2019-06-01"
69563,"C","2019-06-01"
69565,"A","2019-06-01"
69571,"C","2019-06-01"
69577,"C","2019-06-01"
69583,"C","2019-06-01"
69587,"C","2019-06-01"
69597,"C","2019-06-01"
69601,"C","2019-06-01"
69603,"A","2019-06-01"
69607,"C","2019-06-01"
69609,"C","2019-06-01"
69621,"A","2019-06-01"
69625,"C","2019-06-01"
69627,"C","2019-06-01"
69637,"C","2019-06-01"
69645,"C","2019-06-01"
69651,"C","2019-06-01"
69655,"A","2019-06-01"
69659,"B","2019-06-01"
69663,"B","2019-06-01"
69677,"C","2019-06-01"
69683,"C","2019-06-01"
69689,"C","2019-06-01"
69693,"B","2019-06-01"
69703,"C","2019-06-01"
69723,"B","2019-06-01"
69725,"C","2019-06-01"
69731,"A","2019-06-01"
69733,"B","2019-06-01"
69737,"A","2019-06-01"
69739,"C","2019-06-01"
69741,"B","2019-06-01"
69753,"C","2019-06-01"
69759,"C","2019-06-01"
69765,"C","2019-06-01"
69767,"C","2019-06-01"
69781,"C","2019-06-01"
69785,"C","2019-06-01"
69787,"A","2019-06-01"
69789,"A","2019-06-01"
69799,"C","2019-06-01"
69801,"C","2019-06-01"
69811,"C","2019-06-01"
69817,"C","2019-06-01"
69833,"A","2019-06-01"
69835,"A","2019-06-01"
69837,"A","2019-06-01"
69841,"B","2019-06-01"
69849,"C","2019-06-01"
69851,"C","2019-06-01"
69853,"C","2019-06-01"
69859,"B","2019-06-01"
69865,"B","2019-06-01"
69867,"C","2019-06-01"
69869,"A","2019-06-01"
69871,"C","2019-06-01"
69881,"A","2019-06-01"
69887,"B","2019-06-01"
69901,"C","2019-06-01"
69903,"A","2019-06-01"
69905,"C","2019-06-01"
69909,"C","2019-06-01"
69913,"A","2019-06-01"
69919,"C","2019-06-01"
69921,"B","2019-06-01"
69923,"B","2019-06-01"
69927,"C","2019-06-01"
69929,"A","2019-06-01"
69935,"C","2019-06-01"
69941,"B","2019-06-01"
69957,"A","2019-06-01"
69971,"B","2019-06-01"
69973,"C","2019-06-01"
69993,"C","2019-06-01"
69997,"C","2019-06-01"
70003,"C","2019-06-01"
70009,"C","2019-06-01"
70013,"C","2019-06-01"
70015,"C","2019-06-01"
70021,"C","2019-06-01"
70023,"B","2019-06-01"
70029,"B","2019-06-01"
70035,"B","2019-06-01"
70037,"B","2019-06-01"
70041,"C","2019-06-01"
70045,"C","2019-06-01"
70065,"C","2019-06-01"
70073,"A","2019-06-01"
70077,"A","2019-06-01"
70083,"C","2019-06-01"
70085,"B","2019-06-01"
70087,"C","2019-06-01"
70091,"C","2019-06-01"
70097,"C","2019-06-01"
70101,"C","2019-06-01"
70107,"C","2019-06-01"
70111,"B","2019-06-01"
70115,"C","2019-06-01"
70117,"C","2019-06-01"
70119,"A","2019-06-01"
70125,"C","2019-06-01"
70127,"C","2019-06-01"
70129,"B","2019-06-01"
70133,"C","2019-06-01"
70145,"C","2019-06-01"
70149,"A","2019-06-01"
70151,"C","2019-06-01"
70157,"B","2019-06-01"
70159,"C","2019-06-01"
70167,"C","2019-06-01"
70173,"C","2019-06-01"
70181,"B","2019-06-01"
70187,"C","2019-06-01"
70191,"B","2019-06-01"
70195,"B","2019-06-01"
70207,"B","2019-06-01"
70211,"B","2019-06-01"
70213,"B","2019-06-01"
70217,"B","2019-06-01"
70221,"A","2019-06-01"
70231,"C","2019-06-01"
70237,"C","2019-06-01"
70241,"B","2019-06-01"
70247,"B","2019-06-01"
70249,"C","2019-06-01"
70251,"C","2019-06-01"
70253,"C","2019-06-01"
70257,"C","2019-06-01"
70261,"B","2019-06-01"
70291,"B","2019-06-01"
70309,"C","2019-06-01"
70331,"C","2019-06-01"
70333,"C","2019-06-01"
70337,"C","2019-06-01"
70349,"C","2019-06-01"
70353,"C","2019-06-01"
70357,"C","2019-06-01"
70359,"C","2019-06-01"
70361,"C","2019-06-01"
70363,"C","2019-06-01"
70365,"C","2019-06-01"
70367,"C","2019-06-01"
70369,"C","2019-06-01"
70371,"C","2019-06-01"
70381,"C","2019-06-01"
70391,"B","2019-06-01"
70395,"B","2019-06-01"
70403,"C","2019-06-01"
70405,"C","2019-06-01"
70409,"C","2019-06-01"
70421,"C","2019-06-01"
70423,"B","2019-06-01"
70431,"B","2019-06-01"
70447,"C","2019-06-01"
70469,"C","2019-06-01"
70481,"C","2019-06-01"
70517,"C","2019-06-01"
70525,"C","2019-06-01"
70551,"B","2019-06-01"
70557,"C","2019-06-01"
70559,"C","2019-06-01"
70561,"C","2019-06-01"
70567,"C","2019-06-01"
70577,"C","2019-06-01"
70585,"C","2019-06-01"
70587,"C","2019-06-01"
70589,"B","2019-06-01"
70591,"C","2019-06-01"
70593,"C","2019-06-01"
70597,"C","2019-06-01"
70601,"C","2019-06-01"
70607,"C","2019-06-01"
70613,"C","2019-06-01"
70619,"C","2019-06-01"
70629,"B","2019-06-01"
70641,"B","2019-06-01"
70649,"C","2019-06-01"
70679,"C","2019-06-01"
70681,"C","2019-06-01"
70687,"B","2019-06-01"
70689,"B","2019-06-01"
70691,"B","2019-06-01"
70695,"C","2019-06-01"
